ISBN,Title,Scraped Rating Value,Scraped Rating Count,Scraped Review Count,Data Retrieved
"=""0593309715""","Defiant (Skyward, #4)",4.5,1270,206,2023-11-26 21:32:20
"=""1596065443""",The Willful Princess and the Piebald Prince,4.03,8657,859,2023-11-26 21:32:29
"=""0007273770""",The Inheritance,3.98,4803,459,2023-11-26 21:32:39
"=""""","Fool's Assassin (The Fitz and the Fool, #1)",4.41,53917,3543,2023-11-26 21:33:01
"=""0062116851""","Blood of Dragons (Rain Wild Chronicles, #4)",4.17,30367,1778,2023-11-26 21:33:19
"=""0061561630""","City of Dragons (Rain Wild Chronicles, #3)",4.1,32059,1559,2023-11-26 21:33:27
"=""0061931411""","Dragon Haven (Rain Wild Chronicles, #2)",4.11,35170,1722,2023-11-26 21:33:39
"=""""","The Will of the Many (Hierarchy, #1)",4.66,8259,1513,2023-11-26 21:33:50
"=""0007273746""","The Dragon Keeper (Rain Wild Chronicles, #1)",3.95,44140,2582,2023-11-26 21:33:59
"=""0553582461""","Fool's Fate (Tawny Man, #3)",4.46,75864,2692,2023-11-26 21:34:10
"=""0553582453""","Golden Fool (Tawny Man, #2)",4.36,78558,2119,2023-11-26 21:34:21
"=""""","Fool's Errand (Tawny Man, #1)",4.35,90161,3095,2023-11-26 21:34:30
"=""""",The Sword of Kaigen,4.45,17724,3827,2023-11-26 21:34:38
"=""""",The Sunlit Man (The Cosmere),4.43,13252,1613,2023-11-26 21:34:48
"=""""","Ship of Destiny (Liveship Traders, #3)",4.28,70957,3009,2023-11-26 21:35:03
"=""""",Blood Over Bright Haven,4.5,1727,473,2023-11-26 21:35:17
"=""067168390X""","Lonesome Dove (Lonesome Dove, #1)",4.52,183663,11014,2023-11-26 21:35:29
"=""0006498868""","The Mad Ship (Liveship Traders, #2)",4.29,64659,2745,2023-11-26 21:35:44
"=""000649885X""","Ship of Magic (Liveship Traders, #1)",4.2,80388,4553,2023-11-26 21:36:01
"=""""",Yumi and the Nightmare Painter,4.52,27958,4159,2023-11-26 21:36:08
"=""""","Assassin's Quest (Farseer Trilogy, #3)",4.2,151996,7730,2023-11-26 21:36:16
"=""""","Royal Assassin (Farseer Trilogy, #2)",4.26,190215,7747,2023-11-26 21:36:27
"=""""","All Systems Red (The Murderbot Diaries, #1)",4.16,204467,23477,2023-11-26 21:36:45
"=""1250842468""",Untethered Sky,3.92,5686,1375,2023-11-26 21:36:53
"=""1649374046""","Fourth Wing (The Empyrean, #1)",4.64,773942,124736,2023-11-26 21:37:13
"=""055357339X""","Assassin's Apprentice (Farseer Trilogy, #1)",4.18,311768,15907,2023-11-26 21:37:24
"=""1481497065""","The Toll (Arc of a Scythe, #3)",4.2,114245,16560,2023-11-26 21:37:41
"=""1442472456""","Thunderhead (Arc of a Scythe, #2)",4.41,162175,22329,2023-11-26 21:37:48
"=""035651059X""","Jade Legacy (The Green Bone Saga, #3)",4.65,20622,4167,2023-11-26 21:37:58
"=""""","The Lightning Thief (Percy Jackson and the Olympians, #1)",4.3,2818358,90808,2023-11-26 21:38:05
"=""1955252297""",Mother of Learning 3,4.56,3165,129,2023-11-26 21:38:14
"=""195525222X""",Mother of Learning 2,4.54,4293,174,2023-11-26 21:38:24
"=""0316440922""","Jade War (The Green Bone Saga, #2)",4.43,27346,4260,2023-11-26 21:38:33
"=""0316440884""","Jade City (The Green Bone Saga, #1)",4.11,55637,9509,2023-11-26 21:38:44
"=""1955252092""",Mother of Learning 1,4.51,7001,423,2023-11-26 21:38:53
"=""0380508567""","The Foundation Trilogy (Foundation, #1-3)",4.41,101534,2164,2023-11-26 21:39:02
"=""0756413028""","Empire of Silence (Sun Eater, #1)",4.03,8320,1208,2023-11-26 21:39:19
"=""1481424270""","The Grace of Kings (The Dandelion Dynasty, #1)",3.77,19389,3056,2023-11-26 21:39:32
"=""0575095970""","The Wisdom of Crowds (The Age of Madness, #3)",4.6,24287,2196,2023-11-26 21:39:43
"=""0575095911""","The Trouble with Peace (The Age of Madness, #2)",4.6,28331,2285,2023-11-26 21:40:03
"=""1591166152""","One Piece, Volume 5: For Whom the Bell Tolls",4.39,15000,559,2023-11-26 21:40:11
"=""031618716X""","A Little Hatred (The Age of Madness, #1)",4.45,39445,3352,2023-11-26 21:40:20
"=""""",Blood for Coins (The Sabre's Noctem #1),3.96,45,20,2023-11-26 21:40:27
"=""1591163374""","One Piece, Volume 4: The Black Cat Pirates",4.34,16542,620,2023-11-26 21:40:37
"=""1591161843""","One Piece, Volume 3: Don't Get Fooled Again",4.34,18081,715,2023-11-26 21:40:46
"=""031639081X""",Sharp Ends,4.13,18878,1515,2023-11-26 21:40:54
"=""159116057X""","One Piece, Volume 2: Buggy the Clown",4.36,22093,1054,2023-11-26 21:41:01
"=""1569319014""","One Piece, Volume 1: Romance Dawn (One Piece, #1)",4.47,134431,2994,2023-11-26 21:41:10
"=""0743411692""","Xenos (Eisenhorn, #1)",4.16,8729,584,2023-11-26 21:41:19
"=""0316214442""",Red Country,4.31,49759,3018,2023-11-26 21:41:37
"=""0316123358""",The Heroes,4.33,59197,3390,2023-11-26 21:41:46
"=""""",Tress of the Emerald Sea (The Cosmere),4.47,76126,12074,2023-11-26 21:41:57
"=""1760526622""","The Wrath of the Woolington Wyrm (Miss Mary-Kate Martin's Guide to Monsters, #1)",4.19,89,32,2023-11-26 21:42:15
"=""0375826696""","Eragon (The Inheritance Cycle, #1)",3.94,1720958,26830,2023-11-26 21:42:29
"=""0575082453""",Best Served Cold,4.22,86973,4653,2023-11-26 21:42:45
"=""""","Unsouled (Cradle, #1)",4.16,40099,2357,2023-11-26 21:42:54
"=""0553383043""","A Wizard of Earthsea (Earthsea Cycle, #1)",4.01,306821,14903,2023-11-26 21:43:07
"=""""",The Frugal Wizardâ€™s Handbook for Surviving Medieval England,3.78,29372,4046,2023-11-26 21:43:18
"=""""","The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",4.23,1791803,43177,2023-11-26 21:43:26
"=""0575077905""","Last Argument of Kings (The First Law, #3)",4.33,151192,7761,2023-11-26 21:43:34
"=""057506689X""","Soul Music (Discworld, #16; Death, #3)",4.05,77672,2440,2023-11-26 21:43:39
"=""0575077883""","Before They Are Hanged (The First Law, #2)",4.34,163138,7326,2023-11-26 21:43:48
"=""0575079797""","The Blade Itself (The First Law, #1)",4.2,233780,14497,2023-11-26 21:43:59
"=""0756410436""","The Slow Regard of Silent Things (The Kingkiller Chronicle, #2.5)",3.89,141506,12602,2023-11-26 21:44:05
"=""0756404738""","The Wise Man's Fear (The Kingkiller Chronicle, #2)",4.55,538740,26665,2023-11-26 21:44:14
"=""0552152951""","Reaper Man (Discworld, #11; Death, #2)",4.28,99294,3842,2023-11-26 21:44:30
"=""0807067997""",Man's Search for Meaning: A Young Adult Edition,4.44,2057,161,2023-11-26 21:44:37
"=""""",Exhalation,4.27,86515,11005,2023-11-26 21:44:56
"=""1646140893""",The Last Cuentista,4.1,18241,3241,2023-11-26 21:45:04
"=""075640407X""","The Name of the Wind (The Kingkiller Chronicle, #1)",4.52,927147,52569,2023-11-26 21:45:18
"=""""",Dark One: Forgotten,3.85,1346,293,2023-11-26 21:45:24
"=""0553804693""","The Republic of Thieves (Gentleman Bastard, #3)",4.22,105306,6253,2023-11-26 21:45:37
"=""""","Red Seas Under Red Skies (Gentleman Bastard, #2)",4.24,139653,7628,2023-11-26 21:45:45
"=""0374293511""",Bliss Montage,3.93,13378,2546,2023-11-26 21:45:56
"=""0374261598""",Severance,3.92,90011,12747,2023-11-26 21:46:07
"=""""","The Lies of Locke Lamora (Gentleman Bastard, #1)",4.3,286524,19879,2023-11-26 21:46:19
"=""""",Dark One,3.68,2863,502,2023-11-26 21:46:29
"=""0061020680""","Mort (Discworld, #4; Death, #1)",4.24,239368,7742,2023-11-26 21:46:40
"=""""",Shadows Beneath: The Writing Excuses Anthology,4.2,1677,191,2023-11-26 21:46:48
"=""""",The Original,3.81,6453,1144,2023-11-26 21:47:00
"=""193857009X""",Perfect State,4.04,14716,1193,2023-11-26 21:47:11
"=""1606908855""","White Sand, Volume 1 (White Sand, #1)",3.61,17788,1777,2023-11-26 21:47:17
"=""""","Awakening (Infinity Blade, #1)",3.85,14513,913,2023-11-26 21:47:27
"=""""","The Gunslinger (The Dark Tower, #1)",3.93,596860,24012,2023-11-26 21:47:33
"=""159606885X""","Lies of the Beholder (Legion, #3)",4.13,6806,559,2023-11-26 21:47:39
"=""""","Skin Deep (Legion, #2)",4.13,20307,1426,2023-11-26 21:47:47
"=""""",Neverwhere,4.17,516838,28583,2023-11-26 21:48:07
"=""""","Of Blood and Fire (The Bound and the Broken, #1)",4.15,7319,996,2023-11-26 21:48:19
"=""1596064854""","Legion (Legion, #1)",4.13,40451,3273,2023-11-26 21:48:29
"=""1743532806""","The Rithmatist (The Rithmatist, #1)",4.25,66042,7693,2023-11-26 21:48:36
"=""1416912045""","Unwind (Unwind, #1)",4.17,224006,21633,2023-11-26 21:48:46
"=""""","Scythe (Arc of a Scythe, #1)",4.33,287237,41266,2023-11-26 21:48:53
"=""""","The Eden Paradox (Eden Paradox, #1)",4.22,10287,172,2023-11-26 21:48:59
"=""""","Six of Crows (Six of Crows, #1)",4.49,885521,96473,2023-11-26 21:49:11
"=""""","Legends & Lattes (Legends & Lattes, #1)",4.18,135554,27088,2023-11-26 21:49:18
"=""0063021420""",Babel,4.22,157914,31528,2023-11-26 21:49:28
"=""0765391198""","The Lost Metal (Mistborn, #7)",4.48,53572,4871,2023-11-26 21:49:34
"=""""","The Wandering Inn (The Wandering Inn, #1)",4.3,6922,746,2023-11-26 21:49:40
"=""1481465228""","The Forgetting Moon (The Five Warrior Angels, #1)",4.0,2332,459,2023-11-26 21:49:50
"=""1938570073""",Sixth of the Dusk (The Cosmere),4.23,20233,1152,2023-11-26 21:50:00
"=""""",Shadows for Silence in the Forests of Hell,4.18,21728,1424,2023-11-26 21:50:07
"=""""","Allomancer Jak and the Pits of Eltania (Mistborn, #4.5)",3.47,8484,612,2023-11-26 21:50:18
"=""""","The Eleventh Metal (Mistborn, #0.5)",3.78,17654,1106,2023-11-26 21:50:26
"=""0062071041""","Partials (Partials Sequence, #1)",3.93,58355,4847,2023-11-26 21:50:41
"=""0345539842""","Morning Star (Red Rising Saga, #3)",4.5,190526,15662,2023-11-26 21:50:51
"=""0345539826""","Golden Son (Red Rising Saga, #2)",4.45,229900,18900,2023-11-26 21:51:11
"=""""","Red Rising (Red Rising Saga, #1)",4.26,381380,38164,2023-11-26 21:51:32
"=""""","The Hope of Elantris (Elantris, #1.5)",3.66,18829,1280,2023-11-26 21:51:40
"=""""",Defending Elysium,4.07,7378,603,2023-11-26 21:51:45
"=""0765350378""","Elantris (Elantris, #1)",4.19,254118,17215,2023-11-26 21:51:55
"=""""","The Bands of Mourning (Mistborn, #6)",4.42,126350,7566,2023-11-26 21:52:05
"=""0765378558""","Shadows of Self (Mistborn, #5)",4.28,139828,8278,2023-11-26 21:52:14
"=""0765330423""","The Alloy of Law (Mistborn, #4)",4.21,206854,12951,2023-11-26 21:52:23
"=""""","Lux (Texas Reckoners, #1)",3.96,2890,318,2023-11-26 21:52:33
"=""0765326388""","Rhythm of War (The Stormlight Archive, #4)",4.62,129516,9984,2023-11-26 21:52:42
"=""0385743602""","Calamity (Reckoners, #3)",4.18,78878,5848,2023-11-26 21:52:50
"=""0593441044""",All the Seas of the World,4.19,3364,511,2023-11-26 21:52:58
"=""""","Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)",4.26,87410,3217,2023-11-26 21:53:07
"=""0385743580""","Firefight (The Reckoners, #2)",4.26,99649,6823,2023-11-26 21:54:49
"=""0060929871""",Brave New World,3.99,1798106,45348,2023-11-26 21:55:07
"=""0449818438""","Mitosis (The Reckoners, #1.5)",3.86,37823,2166,2023-11-26 21:55:12
"=""0385743564""","Steelheart (The Reckoners, #1)",4.14,177148,15239,2023-11-26 21:55:23
"=""""","Evershore (Skyward, #3.1)",4.4,12594,1124,2023-11-26 21:55:30
"=""0399555854""","Cytonic (Skyward, #3)",4.08,43063,4455,2023-11-26 21:55:48
"=""""","Sunreach (Skyward, #2.1)",4.18,18269,1669,2023-11-26 21:56:00
"=""""","ReDawn (Skyward, #2.2)",4.2,15260,1356,2023-11-26 21:56:09
"=""1473217903""","Starsight (Skyward, #2)",4.38,81743,8476,2023-11-26 21:56:19
"=""1473217857""","Skyward (Skyward, #1)",4.49,127309,16641,2023-11-26 21:56:40
"=""193857026X""","Dawnshard (The Stormlight Archive, #3.5)",4.46,61968,3972,2023-11-26 21:56:52
"=""076532637X""","Oathbringer (The Stormlight Archive, #3)",4.62,225076,13943,2023-11-26 21:57:01
"=""1250166543""","Edgedancer (The Stormlight Archive, #2.5)",4.23,89686,5841,2023-11-26 21:57:10
"=""0765326353""","The Way of Kings (The Stormlight Archive, #1)",4.66,460561,32582,2023-11-26 21:57:15
"=""0765326361""","Words of Radiance (The Stormlight Archive, #2)",4.76,325030,19784,2023-11-26 21:57:34
"=""0312622376""",Our Final Invention: Artificial Intelligence and the End of the Human Era,3.73,3520,440,2023-11-26 21:57:51
"=""1681771217""",The Way of the Runner: A Journey into the Fabled World of Japanese Running,3.8,2706,222,2023-11-26 21:58:03
"=""1473212642""",The Emperor's Soul,4.38,92374,7001,2023-11-26 21:58:09
"=""0062662597""","The Poppy War (The Poppy War, #1)",4.17,221133,36065,2023-11-26 21:58:16
"=""""","Throne of Glass (Throne of Glass, #1)",4.19,1216379,82906,2023-11-26 21:58:27
"=""0552152978""","Small Gods (Discworld, #13)",4.31,118526,4364,2023-11-26 21:58:34
"=""0316705853""","Shards of Earth (The Final Architecture, #1)",4.2,20357,1891,2023-11-26 21:58:42
"=""""","Warbreaker (Warbreaker, #1)",4.3,186418,14809,2023-11-26 21:58:50
"=""0553588486""","A Game of Thrones (A Song of Ice and Fire, #1)",4.44,2421036,62203,2023-11-26 21:59:00
"=""""","The Turing Exception (Singularity, #4)",4.13,1824,90,2023-11-26 21:59:11
"=""""","The Last Firewall (Singularity, #3)",3.99,3470,249,2023-11-26 21:59:26
"=""0984755748""","A.I. Apocalypse (Singularity, #2)",4.04,3842,243,2023-11-26 21:59:34
"=""""",Avogadro Corp: The Singularity Is Closer Than It Appears (Singularity Series Book 1),3.83,6068,488,2023-11-26 21:59:52
"=""076790818X""",A Short History of Nearly Everything,4.21,376824,15409,2023-11-26 21:59:59
"=""0553804367""",A Briefer History of Time,4.25,38528,1593,2023-11-26 22:00:08
"=""1250007135""",Undeniable: Evolution and the Science of Creation,4.14,13127,1381,2023-11-26 22:00:15
"=""1447273281""","Children of Time (Children of Time, #1)",4.3,112950,11289,2023-11-26 22:00:23
"=""030788743X""","Ready Player One (Ready Player One, #1)",4.23,1128153,100679,2023-11-26 22:00:33
"=""0804137250""",Armada,3.55,117853,14110,2023-11-26 22:00:41
"=""0374275637""","Thinking, Fast and Slow",4.18,475598,16279,2023-11-26 22:00:47
"=""0857664018""","Apex (Nexus, #3)",4.17,7402,497,2023-11-26 22:00:56
"=""0857662961""","Crux (Nexus, #2)",4.13,10011,607,2023-11-26 22:01:12
"=""0857662937""","Nexus (Nexus, #1)",4.04,20030,1754,2023-11-26 22:01:21
"=""""","Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",4.3,207832,16496,2023-11-26 22:01:28
"=""0345528794""","Running with the Kenyans: Passion, Adventure, and the Secrets of the Fastest People on Earth",3.93,8699,665,2023-11-26 22:01:36
"=""1472968115""",The Lost Art of Running: A Journey to Rediscover the Forgotten Essence of Human Movement,4.09,1474,153,2023-11-26 22:01:51
"=""1643135147""","Running the Dream: One Summer Living, Training, and Racing with a Team of World-Class Runners Half My Age",4.26,974,94,2023-11-26 22:02:01
"=""1472975324""",Out of Thin Air: Running Wisdom and Magic from Above the Clouds in Ethiopia,4.21,1227,132,2023-11-26 22:02:12
"=""0307952207""","Finding Ultra: Rejecting Middle Age, Becoming One of the World's Fittest Men, and Discovering Myself",4.02,22887,1649,2023-11-26 22:02:22
"=""0525512179""",21 Lessons for the 21st Century,4.17,151788,10801,2023-11-26 22:02:29
"=""""",Homo Deus: A History of Tomorrow,4.21,240180,15707,2023-11-26 22:02:47
"=""""",Sapiens: A Brief History of Humankind,4.37,966227,51626,2023-11-26 22:02:54
"=""0553448129""",Artemis,3.69,259185,26565,2023-11-26 22:03:01
"=""0804139024""",The Martian,4.41,1081245,85348,2023-11-26 22:03:11
"=""0593135202""",Project Hail Mary,4.51,499033,62470,2023-11-26 22:03:18
"=""""","Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",4.21,19301,1877,2023-11-26 22:03:30
"=""1250262062""","A History of What Comes Next (Take Them to the Stars, #1)",3.66,4609,837,2023-11-26 22:03:37
"=""0385696639""",The End of Men,3.79,17648,2973,2023-11-26 22:03:47
"=""""","The Elfor Drop (The Code, #2)",4.42,1192,91,2023-11-26 22:03:57
"=""""","The Worldship Humility (The Code, #1)",4.27,2747,250,2023-11-26 22:04:08
"=""""","Extinct (Extracted Trilogy, #3)",4.27,5750,312,2023-11-26 22:04:25
"=""1477828818""","Executed (Extracted Trilogy, #2)",4.34,8152,415,2023-11-26 22:04:34
"=""""","Extracted (Extracted Trilogy, #1)",3.95,13715,916,2023-11-26 22:04:46
"=""""",Bad Blood: Secrets and Lies in a Silicon Valley Startup,4.41,252882,21882,2023-11-26 22:04:51
"=""1591840538""",The Smartest Guys in the Room: The Amazing Rise and Scandalous Fall of Enron,4.21,23922,1019,2023-11-26 22:05:00
"=""""",The Singularity Trap,4.06,11908,775,2023-11-26 22:05:09
"=""""","Outland (Quantum Earth, #1)",4.09,8265,667,2023-11-26 22:05:21
"=""""","Heaven's River (Bobiverse, #4)",4.29,22445,1515,2023-11-26 22:05:34
"=""""","All These Worlds (Bobiverse, #3)",4.4,47972,2374,2023-11-26 22:05:43
"=""""","For We Are Many (Bobiverse, #2)",4.37,54602,2449,2023-11-26 22:05:50
"=""""","We Are Legion (We Are Bob) (Bobiverse, #1)",4.28,88534,6921,2023-11-26 22:05:58
"=""""","Secret History (Mistborn, #3.5)",4.36,56429,4149,2023-11-26 22:06:05
"=""0765316897""","The Hero of Ages (Mistborn, #3)",4.53,397933,27432,2023-11-26 22:06:18
"=""0765316889""","The Well of Ascension (Mistborn, #2)",4.38,435291,26367,2023-11-26 22:06:28
"=""""","The Last Wish (The Witcher, #0.5)",4.14,336828,22587,2023-11-26 22:06:34
"=""059309932X""","Dune (Dune, #1)",4.26,1274693,57139,2023-11-26 22:06:51
"=""""","The Final Empire (Mistborn, #1)",4.48,637505,47641,2023-11-26 22:07:01
